ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
4.1.1.3.0,Never Scored,Unit,Call-for-Aid System,"System is blocked, or pull cord is higher than 6 inches off the floor. ","System is blocked.
OR
Pull cord end is higher than 6 inches off the floor.",Life-Threatening,24 hours,Fail,24 hours,"1. Look for a call-for-aid system along the walls.  
2. Look to see if a cord is present if required; not all call-for-aid systems will have a cord, some may have a button.
3. Look at the call-for-aid system and visually inspect for any obstruction that would prevent a resident from accessing the system (e.g., furniture and equipment, clothes, plants, etc.).",NONE,"1. If a cord is present, measure the distance between the end of the pull cord and the floor to determine if it is greater than 6 inches.","1. If the call-for-aid system is a button-only device, then do not record a deficiency for a pull cord end that is higher than 6 inches off the floor. ",Distance measuring device,Flashlight
4.2.2.3.0,Never Scored,Inside,Call-for-Aid System,"System is blocked, or pull cord is higher than 6 inches off the floor. ","System is blocked.
OR
Pull cord end is higher than 6 inches off the floor.",Life-Threatening,24 hours,Fail,24 hours,"1. Look for a call-for-aid system along the walls.  
2. Look to see if a cord is present if required; not all call-for-aid systems will have a cord, some may have a button.
3. Look at the call-for-aid system and visually inspect for any obstruction that would prevent a resident from accessing the system (e.g., furniture and equipment, clothes, plants, etc.).",NONE,"1. If a cord is present, measure the distance between the end of the pull cord and the floor to determine if it is greater than 6 inches.","1. If the call-for-aid system is a button-only device, then do not record a deficiency for a pull cord end that is higher than 6 inches off the floor. ",Distance measuring device,Flashlight
4.1.3.3.0,,Unit,Call-for-Aid System,System does not function properly.,"A call-for-aid system does not emit sound or light or send a signal to the annunciator. 
OR
The annunciator does not indicate the correct corresponding room.
OR
Pull cord is missing.
OR
Pull cord is tied up such that it cannot be engaged. ",Life-Threatening,24 hours,Fail,24 hours,"1. Look for a call-for-aid system along the walls.  
2. Look to verify that a cord is present, if so designed. 
3. Listen to verify that the system emits an audible alarm, if so designed. 
4. Verify the system emits a visual alarm, if so designed.","1. Ask the POA if the call-for-aid system is monitored onsite or offsite.  
- If monitored offsite, do not test functionality of the system.  
2.  Ask the POA to station a staff person with a cellphone or two-way radio at the annunciator panel to standby for the alarm to activate and to contact the POA once the alarm activates.","1. Pull the pull cord from its lowest hanging point.
2. Verify that the system emits a visual alarm, such as a flashing light, and alerts at the annunciator panel.","1.  If the property has third-party documentation of a call-for-aid inspection, then the inspector does not need to test call-for-aid stations. Instead, the inspector should:
- Verify that the documentation addresses all parts of the call-for-aid system.  
- Verify that the third-party documentation is dated within the last 12 months of the inspection date. 
2.  If the call-for-aid system is abandoned: 
- Do not evaluate call-for-aid systems if all pull stations have been removed and all that remains are the indicator lights, audible indicators, or annunciator panel. 
- The primary consideration is that no part of the user interface remains.
3. If the call-for-aid system is a button-only device, then do not record a deficiency for a missing pull cord. ",NONE,Flashlight
4.2.4.3.0,,Inside,Call-for-Aid System,System does not function properly.,"A call-for-aid system does not emit sound or light or send a signal to the annunciator. 
OR
The annunciator does not indicate the correct corresponding room.
OR
Pull cord is missing.
OR
Pull cord is tied up such that it cannot be engaged. ",Life-Threatening,24 hours,Fail,24 hours,"1. Look for a call-for-aid system along the walls.  
2. Look to verify that a cord is present, if so designed. 
3. Listen to verify that the system emits an audible alarm, if so designed. 
4. Verify the system emits a visual alarm, if so designed.","1. Ask the POA if the call-for-aid system is monitored onsite or offsite.  
- If monitored offsite, do not test functionality of the system.  
2.  Ask the POA to station a staff person with a cellphone or two-way radio at the annunciator panel to standby for the alarm to activate and to contact the POA once the alarm activates.","1. Pull the pull cord from its lowest hanging point.
2. Verify that the system emits a visual alarm, such as a flashing light, and alerts at the annunciator panel.","1.  If the property has third-party documentation of a call-for-aid inspection, then the inspector does not need to test call-for-aid stations. Instead, the inspector should:
- Verify that the documentation addresses all parts of the call-for-aid system.  
- Verify that the third-party documentation is dated within the last 12 months of the inspection date. 
2.  If the call-for-aid system is abandoned: 
- Do not evaluate call-for-aid systems if all pull stations have been removed and all that remains are the indicator lights, audible indicators, or annunciator panel. 
- The primary consideration is that no part of the user interface remains.
3. If the call-for-aid system is a button-only device, then do not record a deficiency for a missing pull cord. ",NONE,Flashlight
5.1.1.3.0,Never Scored,Unit,Carbon Monoxide Alarm,"Carbon monoxide alarm is missing, not installed, or not installed in a proper location.","One (1) or more of the following scenarios exists:
     1. Unit contains a fuel-burning appliance or fuel-burning fireplace, and a carbon monoxide alarm is not installed:
               a. in the immediate vicinity of each bedroom. 
     OR
               b. within each bedroom.
     
     2. Bedroom or bathroom attached to bedroom:
               a. contains a fuel-burning appliance or fuel-burning fireplace.
     OR
               b. has adjacent spaces from which byproducts of combustion gases can flow.
     AND
               c. Carbon monoxide alarm is not installed in each bedroom. 

     3. Unit or bedroom is served by a forced-air furnace that is located elsewhere and a carbon monoxide alarm is not installed:
               a. in the immediate vicinity of each bedroom. 
     OR
               b. within each bedroom.
     OR
               c. within the room or area with the first duct register and the carbon monoxide alarm signals are automatically transmitted to an approved location.

     4. Unit or bedroom is located in a building that contains a fuel-burning appliance or fuel-burning fireplace and:
               a. a carbon monoxide alarm is not installed in an approved location between the fuel-burning appliance or fuel-burning fireplace and the Unit or bedroom.
     OR
               b. a carbon monoxide alarm is not installed on the ceiling of the room containing the fuel-burning appliance or fuel-burning fireplace.
     OR
               c. the Unit or bedroom has communicated openings to the fuel-burning appliance or fuel-burning fireplace and a carbon monoxide alarm is not installed: 
                         i. in the immediate vicinity of each bedroom.
     OR
                         ii. within each bedroom.

     5. Unit or bedroom is located one (1) story or less above or below an attached private garage that:
               a. does not have natural ventilation.
     OR
               b. is enclosed and does not have a ventilation system for vehicle exhaust. 
     AND
               c. Carbon monoxide alarm is not installed:
                         i. in the immediate vicinity of each bedroom.
     OR
                         ii. within each bedroom.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all fuel-burning appliances and fuel-burning fireplaces. 
2. Identify all adjacent spaces from which byproducts of combustion gases can flow (e.g., attached garage, mechanical room, laundry). 
3. Identify all bedrooms. 
4. If a fuel-burning appliance, fuel-burning fireplace, or adjacent space from which byproducts of combustion gases can flow is present, then verify that a carbon monoxide alarm is installed within each bedroom or in the immediate vicinity of each bedroom. ","1. Ask the POA to identify the following within the Unit: 
- Fuel-burning appliances; and 
- Fuel-burning fireplaces; and 
- Adjacent spaces from which byproducts of combustion gases can flow.",NONE,NONE,NONE,Flashlight
5.1.3.3.0,Never Scored,Unit,Carbon Monoxide Alarm,Carbon monoxide alarm is obstructed.,Carbon monoxide alarm is obstructed,Life-Threatening,24 hours,Fail,24 hours,1. Look for presence of a carbon monoxide alarm.,NONE,"1. Determine if the carbon monoxide alarm is covered by a foreign object (e.g., plastic bag, shower cap, zip tie, paint, tape, decorative stickers).",1. A combination smoke and carbon monoxide alarm should be evaluated under both the Carbon Monoxide Alarm and Smoke Alarm standards.,NONE,Flashlight
5.2.4.3.0,Never Scored,Inside,Carbon Monoxide Alarm,Carbon monoxide alarm is obstructed.,Carbon monoxide alarm is obstructed,Life-Threatening,24 hours,Fail,24 hours,1. Look for presence of a carbon monoxide alarm.,NONE,"1. Determine if the carbon monoxide alarm is covered by a foreign object (e.g., plastic bag, shower cap, zip tie, paint, tape, decorative stickers).",1. A combination smoke and carbon monoxide alarm should be evaluated under both the Carbon Monoxide Alarm and Smoke Alarm standards.,NONE,Flashlight
5.1.5.3.0,Never Scored,Unit,Carbon Monoxide Alarm,Carbon monoxide alarm does not produce an audio or visual alarm when tested.,Carbon monoxide alarm does not produce an audio or visual alarm when tested.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the carbon monoxide alarm to find a test button; if no test button is present, disregard this deficiency. 
2. Look to see if the light on the carbon monoxide alarm flashes, strobes, or changes pattern in any way. 
3. Listen to hear if an alarm is emitted from the carbon monoxide alarm.","1. If the test button is over 8 feet high, you may ask the POA to press test button.","1. If the test button is less than 8 feet high, press the test button.","1. If the batteries are dead, then the carbon monoxide alarm should be evaluated under this deficiency. 
2. Any carbon monoxide alarm that is present should be evaluated under this deficiency. 
3. May utilize a tool to press the test button.",NONE,Flashlight; Telescoping pole or ladder
5.2.6.3.0,Never Scored,Inside,Carbon Monoxide Alarm,Carbon monoxide alarm does not produce an audio or visual alarm when tested.,Carbon monoxide alarm does not produce an audio or visual alarm when tested.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the carbon monoxide alarm to find a test button; if no test button is present, disregard this deficiency. 
2. Look to see if the light on the carbon monoxide alarm flashes, strobes, or changes pattern in any way. 
3. Listen to hear if an alarm is emitted from the carbon monoxide alarm.","1. If the test button is over 8 feet high, you may ask the POA to press test button.","1. If the test button is less than 8 feet high, press the test button.","1. If the batteries are dead, then the carbon monoxide alarm should be evaluated under this deficiency. 
2. Any carbon monoxide alarm that is present should be evaluated under this deficiency. 
3. May utilize a tool to press the test button.",NONE,Flashlight; Telescoping pole or ladder
6.1.1.3.0,,Unit,Ceiling,Ceiling has an unstable surface.,"Ceiling has an unstable surface.
OR
There is cracking or small circles or blisters (e.g., nail pops) on the ceiling (which are a sign the plasterboard sheeting may be pulling away from the nails or screws).",Moderate,30 days,Fail,30 days,"1. Look at the ceiling to identify any evidence of damaged or unstable surfaces (e.g., drywall, gypsum, or ceiling tiles are missing or detached, or the presence of bubbling, deflection, loose joint tape, or loose panels).",NONE,NONE,"1. Cosmetic damage is not evaluated under this deficiency and the inspector should reference other standards for applicable items (e.g., Wall – Interior, Leak – Water, etc.).",NONE,NONE
6.2.2.3.0,,Inside,Ceiling,Ceiling has an unstable surface.,"Ceiling has an unstable surface.
OR
There is cracking or small circles or blisters (e.g., nail pops) on the ceiling (which are a sign the plasterboard sheeting may be pulling away from the nails or screws).",Moderate,30 days,Fail,30 days,"1. Look at the ceiling to identify any evidence of damaged or unstable surfaces (e.g., drywall, gypsum, or ceiling tiles are missing or detached, or the presence of bubbling, deflection, loose joint tape, or loose panels).",NONE,NONE,"1. Cosmetic damage is not evaluated under this deficiency and the inspector should reference other standards for applicable items (e.g., Wall – Interior, Leak – Water, etc.).",NONE,NONE
6.1.3.3.0,,Unit,Ceiling,Ceiling has a hole.,"A hole is present that opens directly to the outside environment.
OR
A hole is present that is 2 inches or greater in diameter.",Moderate,30 days,Fail,30 days,"1. Look at the ceiling and identify any hole. 
2. Determine if the hole opens directly to the outside environment.",NONE,1. Measure the size of the hole.,NONE,Distance measuring device,Flashlight
6.2.4.3.0,,Inside,Ceiling,Ceiling has a hole.,"A hole is present that opens directly to the outside environment.
OR
A hole is present that is 2 inches or greater in diameter.",Moderate,30 days,Fail,30 days,"1. Look at the ceiling and identify any hole. 
2. Determine if the hole opens directly to the outside environment.",NONE,1. Measure the size of the hole.,NONE,Distance measuring device,Flashlight
6.1.5.3.0,,Unit,Ceiling,Ceiling component(s) is not functionally adequate.,"Ceiling component(s) is not functionally adequate (i.e., does not allow ceiling to enclose a room, protect shaft or circulation space, create enclosure of and separation between spaces, control the diffusion of light and sound around a room). ",Severe,24 hours,Fail,30 days,"1. Look at the ceiling to identify any component that is not functionally adequate (i.e., does not allow ceiling to enclose a room, protect shaft or circulation space, create enclosure of and separation between spaces, control the diffusion of light and sound around a room). ",NONE,NONE,"1. If the overall ceiling exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard. ",NONE,Flashlight
6.2.6.3.0,,Inside,Ceiling,Ceiling component(s) is not functionally adequate.,"Ceiling component(s) is not functionally adequate (i.e., does not allow ceiling to enclose a room, protect shaft or circulation space, create enclosure of and separation between spaces, control the diffusion of light and sound around a room). ",Severe,24 hours,Fail,30 days,"1. Look at the ceiling to identify any component that is not functionally adequate (i.e., does not allow ceiling to enclose a room, protect shaft or circulation space, create enclosure of and separation between spaces, control the diffusion of light and sound around a room). ",NONE,NONE,"1. If the overall ceiling exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard. ",NONE,Flashlight
7.1.1.3.0,,Unit,Chimney,"A visually accessible chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete or damaged such that it may not safely contain fire and convey smoke and combustion gases to the exterior.","A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete (i.e., evidence of a previously installed component that is now not present) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.
OR
A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is damaged (i.e., visibly defective; impacts functionality) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all fireplaces and wood-burning appliances. 
2. Visually inspect each chimney, flue, and firebox to determine if it is incomplete (i.e., evidence of a previously installed component that is now not present). 
3. Visually inspect each chimney, flue, and firebox for damage (i.e., visibly defective; impacts functionality).",NONE,NONE,"1. If a fireplace is intentionally decommissioned (e.g., sealed; not positioned for use), then do not evaluate it under this deficiency.
2. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- Holes.
- Bricks that are damaged, missing, or cracked such that smoke or combustion gases may not vent as intended.
- Failed lining (e.g., creosote leaching through brick).",NONE,Flashlight
7.2.2.3.0,,Inside,Chimney,"A visually accessible chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete or damaged such that it may not safely contain fire and convey smoke and combustion gases to the exterior.","A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete (i.e., evidence of a previously installed component that is now not present) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.
OR
A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is damaged (i.e., visibly defective; impacts functionality) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all fireplaces and wood-burning appliances. 
2. Visually inspect each chimney, flue, and firebox to determine if it is incomplete (i.e., evidence of a previously installed component that is now not present). 
3. Visually inspect each chimney, flue, and firebox for damage (i.e., visibly defective; impacts functionality).",NONE,NONE,"1. If a fireplace is intentionally decommissioned (e.g., sealed; not positioned for use), then do not evaluate it under this deficiency.
2. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- Holes.
- Bricks that are damaged, missing, or cracked such that smoke or combustion gases may not vent as intended.
- Failed lining (e.g., creosote leaching through brick). ",NONE,Flashlight
7.3.3.3.0,,Outside,Chimney,"A visually accessible chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete or damaged such that it may not safely contain fire and convey smoke and combustion gases to the exterior.","A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is incomplete (i.e., evidence of a previously installed component that is now not present) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.
OR
A visually accessible (i.e., can be reasonably accessed and observed) chimney, flue, or firebox connected to a fireplace or wood-burning appliance is damaged (i.e., visibly defective; impacts functionality) such that it may not safely contain fire and convey smoke and combustion gases to the exterior.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all fireplaces and wood-burning appliances. 
2. Visually inspect each chimney, flue, and firebox to determine if it is incomplete (i.e., evidence of a previously installed component that is now not present). 
3. Visually inspect each chimney, flue, and firebox for damage (i.e., visibly defective; impacts functionality).",NONE,NONE,"1. For the purpose of this inspection, the ash cleanout should be considered as part of the firebox and therefore evaluated under this deficiency. 
2. For the purpose of this inspection, the inspector should not go on the roof to evaluate the chimney.
3. If a fireplace is intentionally decommissioned (e.g., sealed, not positioned for use), then do not evaluate it under this deficiency.
4. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- Holes.
- Bricks that are damaged, missing, or cracked such that smoke or combustion gases may not vent as intended.
- Failed lining (e.g., creosote leaching through brick).",NONE,Flashlight
7.3.4.3.0,,Outside,Chimney,Chimney exhibits signs of structural failure.,The chimney exhibits signs of structural failure such that the integrity of the chimney is jeopardized.,Life-Threatening,24 hours,Fail,24 hours,"1. Identify all fireplaces and wood-burning appliances. 
2. Visually inspect each chimney to determine if it exhibits any sign of structural failure.",NONE,NONE,"1. Examples of chimney structural failure include, but are not limited to: 
- Misaligned 
- Detached 
- Leaning away from the building 
- Collapsed 
- Imminent danger of collapse",NONE,NONE
8.1.1.3.0,,Unit,Clothes Dryer Exhaust Ventilation,Electric dryer transition duct is detached or missing.,"Electric dryer transition duct is detached or missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look behind the clothes dryer and attempt to locate the dryer transition duct.  
2. Visually observe if the dryer transition duct is securely attached. 
3. If unable to locate the dryer transition duct, look behind the clothes dryer and observe if there is an accumulation of dryer lint, which indicates that the dryer transition duct may be detached or missing.",NONE,NONE,NONE,Flashlight,Inspection mirror
